iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
67,4,2,10,2,2835.4860,2835,992.9530,993,1035.9895,1036,441.0634,441,101.0054,101,21.6288,22,125.2245,125,105.9472,106
68,3,3,10,0,2835.4860,2835,992.9530,993,1035.9895,1036,441.0634,441,101.0054,101,21.6288,22,125.2245,125,105.9472,106
69,6,3,7,3,2832.6987,2833,995.2364,995,1034.2770,1034,441.8718,442,100.8493,101,21.5451,22,125.0126,125,105.7353,106
70,2,4,10,-2,2830.8485,2831,993.7207,994,1035.4137,1035,442.4083,442,100.7457,101,21.6006,22,125.1532,125,105.8759,106
71,3,3,10,0,2830.8485,2831,993.7207,994,1035.4137,1035,442.4083,442,100.7457,101,21.6006,22,125.1532,125,105.8759,106
72,5,2,9,3,2833.6001,2834,995.9748,996,1033.7231,1034,441.6104,442,100.8998,101,21.6832,22,125.3624,125,105.6668,106
73,5,3,8,2,2835.4268,2835,997.4712,997,1032.6008,1033,442.1401,442,101.0021,101,21.7380,22,125.5012,126,105.5280,106
74,4,4,8,0,2835.4268,2835,997.4712,997,1032.6008,1033,442.1401,442,101.0021,101,21.7380,22,125.5012,126,105.5280,106
75,2,3,11,-1,2836.3325,2836,996.7293,997,1033.1573,1033,442.4027,442,101.0528,101,21.7108,22,125.5700,126,105.4592,105
76,4,3,9,1,2837.2344,2837,995.9904,996,1032.6031,1033,442.1412,442,101.0023,101,21.6838,22,125.5015,126,105.5277,106
77,5,3,8,2,2839.0310,2839,997.4621,997,1031.4993,1031,442.6622,443,100.9017,101,21.6299,22,125.3649,125,105.6642,106
78,6,5,5,1,2838.1364,2838,998.1950,998,1030.9497,1031,442.4027,442,100.8516,101,21.6030,22,125.4329,125,105.5963,106
79,3,4,9,-1,2837.2454,2837,998.9249,999,1031.4971,1031,442.6611,443,100.8017,101,21.5763,22,125.5006,126,105.6640,106
80,5,4,7,1,2838.1328,2838,998.1979,998,1030.9519,1031,442.4038,442,100.7520,101,21.6029,22,125.4332,125,105.5965,106
81,6,7,3,-1,2837.2489,2837,998.9220,999,1031.4950,1031,442.1474,442,100.7025,101,21.6294,22,125.3660,125,105.6637,106
82,4,4,8,0,2837.2489,2837,998.9220,999,1031.4950,1031,442.1474,442,100.7025,101,21.6294,22,125.3660,125,105.6637,106
83,6,5,5,1,2838.1259,2838,999.6405,1000,1032.0338,1032,442.4018,442,100.6534,101,21.6031,22,125.4327,125,105.7304,106
84,4,6,6,-2,2839.8731,2840,1001.0718,1001,1033.1073,1033,442.9084,443,100.7512,101,21.6555,22,125.2999,125,105.5976,106
85,3,5,8,-2,2841.6135,2842,1002.4975,1002,1032.0379,1032,442.4037,442,100.6537,101,21.7077,22,125.1676,125,105.4653,105
86,2,7,7,-5,2837.2790,2837,998.9467,999,1034.7010,1035,441.1467,441,100.4110,100,21.8378,22,124.8382,125,105.1359,105
87,4,3,9,1,2836.4154,2836,999.6542,1000,1035.2316,1035,440.8963,441,100.3626,100,21.8119,22,124.9038,125,105.0702,105
88,3,2,11,1,2837.2758,2837,998.9494,999,1035.7602,1036,440.6468,441,100.3145,100,21.7861,22,124.9692,125,105.1356,105
89,5,3,8,2,2838.9900,2839,1000.3537,1000,1036.8134,1037,441.1439,441,100.2185,100,21.8375,22,125.0995,125,105.0053,105
